CAES_VIEJO;Letra;DESCRIPCION_LETRA;CAES_VIEJO_2D;DESCRIPCION_CAES_VIEJO_2D
1;A;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;NA;NA
10;C;EXPLOTACIÓN DE MINAS Y CANTERAS;NA;NA
15;D;INDUSTRIA MANUFACTURERA;NA;NA
19;D;INDUSTRIA MANUFACTURERA;NA;NA
23;D;INDUSTRIA MANUFACTURERA;NA;NA
24;D;INDUSTRIA MANUFACTURERA;NA;NA
26;D;INDUSTRIA MANUFACTURERA;NA;NA
27;D;INDUSTRIA MANUFACTURERA;NA;NA
29;D;INDUSTRIA MANUFACTURERA;NA;NA
36;D;INDUSTRIA MANUFACTURERA;NA;NA
40;E;ELECTRICIDAD, GAS Y AGUA;NA;NA
50;G;COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES, MOTOCICLETAS, EFECTOS PERSONALES Y ENSERES DOMÉSTICOS;NA;NA
53;G;COMERCIO AL POR MAYOR Y AL POR MENOR, REPARACIÓN DE VEHÍCULOS AUTOMOTORES, MOTOCICLETAS, EFECTOS PERSONALES Y ENSERES DOMÉSTICOS;NA;NA
60;I;SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES;NA;NA
63;I;SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES;NA;NA
64;I;SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES;NA;NA
72;K;SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER;NA;NA
74;K;SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER;NA;NA
80;M;ENSEÑANZA;NA;NA
91;O;SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.;NA;NA
95;P;SERVICIOS DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO;NA;NA
101;A;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;NA;NA
102;A;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;NA;NA
103;A;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;NA;NA
104;A;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;NA;NA
105;A;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;NA;NA
